Product_name,Product_url,Product_stock,Product_price,Product_skus,Product_last_sync
THE ROGER Advantage,https://www.on-running.com/en-ch/products/the-roger-advantage-48adv/mens/white-chambray-shoes-48.98107,3,190.0,"48.99452,48.99454,48.99456,48.99457,48.99147,48.98342,48.98341,48.98338,48.98106,48.98103,48.98104,48.98107",2023-08-09T06:21:41.310Z
Cloud 5,https://www.on-running.com/en-ch/products/cloud-5-59/mens/midnight-navy-shoes-59.98167,3,190.0,"59.98909,59.98919,59.98986,59.98916,59.98773,59.98899,59.98905,59.98774,59.98904,59.98901,59.98882,59.98883,59.98886,59.98559,59.98372,59.98376,59.98375,59.98373,59.98374,59.98371,59.98367,59.98364,59.98362,59.98368,59.98369,59.98154,59.98156,59.98167,59.98158,59.98166,59.98153,59.98157,59.98163,59.98162",2023-08-09T06:21:34.278Z
Cloud Play,https://www.on-running.com/en-ch/products/cloud-play-3KD1143/unisex/all-black-shoes-3KD11430485,3,120.0,"3KD11430692,3KD11431209,3KD11431460,3KD11431210,3KD11431337,3KD11430485",2023-08-09T06:21:42.128Z
Logo Sock 3-Pack,https://www.on-running.com/en-ch/products/logo-sock-3-pack-399/unisex/white-accessories-399.01718,3,30.0,"399.01722,399.01719,399.01721,399.01718",2023-08-09T06:21:48.859Z
Cloudstratus 3,https://www.on-running.com/en-ch/products/cloudstratus-3-3md3011/mens/undyed-white-sand-shoes-3MD30111148,3,240.0,"3MD30111234,3WD30121148,3WD30121505,3WD30121234,3MD30111197,3MD30111148,3MD30111504,3WD30121197",2023-08-09T06:21:39.707Z
Ultra Vest 10L,https://www.on-running.com/en-ch/products/ultra-vest-10l-2ud3002/unisex/undyed-white-accessories-2UD30020864,2,210.0,2UD30020864,2023-08-09T06:21:45.625Z
Ultra Vest 5L,https://www.on-running.com/en-ch/products/ultra-vest-5l-2ud3003/unisex/undyed-white-accessories-2UD30030864,2,190.0,2UD30030864,2023-08-09T06:21:45.745Z
On Cap,https://www.on-running.com/en-ch/products/on-cap-337/unisex/black-accessories-337.01405,3,50.0,"337.01405,337.01407",2023-08-09T06:21:45.066Z
Movement Crew,https://www.on-running.com/en-ch/products/movement-crew-1wd3014/womens/lavender-apparel-1WD30141276,2,150.0,"1WD30141276,1WD30140553",2023-08-09T06:21:49.329Z
Performance-T,https://www.on-running.com/en-ch/products/performance-t-102/mens/zinc-shadow-apparel-102.01301,2,100.0,"102.00289,202.00237,102.00417,102.01298,102.01299,202.01304,102.01301,102.01302,202.01306,202.01432,202.01307",2023-08-09T06:21:52.716Z
Performance Bra,https://www.on-running.com/en-ch/products/performance-bra-258/womens/stellar-black-apparel-258.01296,3,95.0,"258.00728,258.01297,258.01296",2023-08-09T06:21:45.408Z
Sweat Pants,https://www.on-running.com/en-ch/products/sweat-pants-146/womens/lavender-apparel-246.01347,2,140.0,"146.00677,246.00678,146.01083,246.01347,146.01444",2023-08-09T06:21:49.855Z
Movement Bra,https://www.on-running.com/en-ch/products/movement-bra-1wd3013/womens/black-apparel-1WD30130553,2,80.0,"1WD30130553,1WD30131276",2023-08-09T06:21:48.951Z
Climate Shirt,https://www.on-running.com/en-ch/products/climate-shirt-163/womens/grape-apparel-263.01649,2,140.0,"163.00470,163.00469,263.00471,263.01034,163.01324,263.01325,263.01649,163.01323,163.01648",2023-08-09T06:21:43.179Z
Ultra Shorts,https://www.on-running.com/en-ch/products/ultra-shorts-1md1016/mens/grape-black-apparel-1MD10161260,2,140.0,"1WD10260874,1MD10160553,1WD10260553,1MD10160874,1WD10261260,1MD10161260",2023-08-09T06:21:51.271Z
Cloud Sky,https://www.on-running.com/en-ch/products/cloud-sky-3YD1144/unisex/all-black-shoes-3YD11440485,3,130.0,"3YD11440106,3YD11440608,3YD11441212,3YD11441461,3YD11441211,3YD11440485,3YD11440645",2023-08-09T06:21:41.822Z
Cloudsurfer,https://www.on-running.com/en-ch/products/cloudsurfer-3md1042/mens/black-cobalt-shoes-3MD10421509,3,220.0,"3WD10440485,3WD10441071,3WD10440664,3MD10421204,3MD10421071,3MD10420485,3MD10420664,3WD10440248,3WD10441509,3WD10441204,3MD10420248,3MD10421509",2023-08-09T06:21:40.759Z
Cloudmonster,https://www.on-running.com/en-ch/products/cloudmonster-61/womens/pearl-arctic-shoes-61.98128,2,230.0,"61.99023,61.99026,61.99025,61.99024,61.98648,61.98241,61.98244,61.98243,61.98242,61.98285,61.98286,61.98283,61.98288,61.98128,61.98082,61.98085,61.98086,61.98132,61.98081,61.98131,61.98084,61.98083,61.98129",2023-08-09T06:21:36.538Z
Focus Crop,https://www.on-running.com/en-ch/products/focus-crop-1wd1009/womens/zinc-apparel-1WD10090585,2,90.0,"1WD10090553,1WD10091276,1WD10090585",2023-08-09T06:21:43.679Z
Focus-T,https://www.on-running.com/en-ch/products/focus-t-1wd1030/mens/taiga-apparel-1MD10060858,2,90.0,"1WD10300069,1WD10300009,1MD10060889,1MD10060069,1MD10060553,1WD10300553,1MD10060585,1WD10301276,1MD10060858",2023-08-09T06:21:44.433Z
All-Day Sock,https://www.on-running.com/en-ch/products/all-day-sock-366/mens/white-wash-accessories-366.01389,2,25.0,"366.00873,367.00878,367.01008,366.01006,366.01183,367.01187,367.01188,366.01389,367.01393",2023-08-09T06:21:45.866Z
Hoodie,https://www.on-running.com/en-ch/products/hoodie-119/womens/lavender-ox-apparel-219.01346,2,190.0,"119.00675,219.00676,119.01076,219.01345,219.01346",2023-08-09T06:21:47.952Z
Cloudeasy,https://www.on-running.com/en-ch/products/cloudeasy-76/mens/wash-olive-shoes-76.98134,3,180.0,"76.98445,76.98439,76.98444,76.98441,76.98289,76.98291,76.98134,76.98133",2023-08-09T06:21:35.836Z
Lightweight Cap,https://www.on-running.com/en-ch/products/lightweight-cap-301/unisex/hay-accessories-301.01398,3,45.0,"301.00015,301.00017,301.00016,301.01210,301.01209,301.01398",2023-08-09T06:21:48.332Z
Active Bra,https://www.on-running.com/en-ch/products/active-bra-288/womens/lavender-ox-apparel-288.01342,3,85.0,"288.00731,288.01131,288.01341,288.01342",2023-08-09T06:21:42.728Z
Movement-T,https://www.on-running.com/en-ch/products/movement-t-1wd1007/womens/lavender-apparel-1WD10071276,2,85.0,"1WD10070553,1WD10070009,1WD10071276",2023-08-09T06:21:49.484Z
Performance Mid Sock,https://www.on-running.com/en-ch/products/performance-mid-sock-355/womens/lavender-anemone-accessories-355.01379,3,25.0,"355.00834,355.00833,355.00835,354.00828,354.00829,354.00827,354.01176,355.00831,354.01175,354.00826,355.00832,354.00825,355.01178,354.01174,355.01179,354.01369,354.01374,354.01372,355.01376,355.01375,354.01373,355.01381,355.01378,355.01379",2023-08-09T06:21:56.536Z
Performance Low Sock,https://www.on-running.com/en-ch/products/performance-low-sock-345/womens/lavender-anemone-accessories-345.01366,3,22.0,"345.00824,345.00823,344.00818,344.00819,344.00817,345.00822,344.00816,345.01173,344.01169,345.00821,344.01171,345.01365,344.01359,345.01367,344.01361,344.01357,345.01363,345.01366,344.01431,345.01362,344.01356",2023-08-09T06:21:54.541Z
Focus Tank,https://www.on-running.com/en-ch/products/focus-tank-1md3021/mens/black-apparel-1MD30210553,2,85.0,"1MD30210585,1MD30210553,1MD30210889",2023-08-09T06:21:59.111Z
"5"" Lightweight Shorts",https://www.on-running.com/en-ch/products/5-lightweight-shorts-195/mens/hay-black-apparel-195.01293,2,100.0,"195.00723,195.00721,195.01293",2023-08-09T06:21:42.526Z
Performance Long-T,https://www.on-running.com/en-ch/products/performance-long-t-113/womens/stellar-apparel-213.01311,3,100.0,"113.00121,213.01311,213.01312,113.01309,113.01308",2023-08-09T06:21:51.858Z
Focus Shorts,https://www.on-running.com/en-ch/products/focus-shorts-1md3024/mens/black-apparel-1MD30240553,3,120.0,"1MD30241745,1MD30240553,1MD30241268",2023-08-09T06:21:43.839Z
Performance Tights,https://www.on-running.com/en-ch/products/performance-tights-1md1013/womens/ox-apparel-1WD10191275,2,140.0,"1MD10130857,1WD10190870,1MD10130856,1WD10190896,1WD10190553,1MD10130553,1WD10191161,1WD10191275",2023-08-09T06:21:49.569Z
Graphic-T,https://www.on-running.com/en-ch/products/graphic-t-1MD1054/mens/black-white-apparel-1MD10540299,2,75.0,"1WD10630896,1MD10540889,1WD10630553,1MD10540069,1WD10630069,1MD10540553,1MD10540585,1WD10630299,1MD10540299,1WD10631276",2023-08-09T06:21:47.758Z
Hybrid Shorts,https://www.on-running.com/en-ch/products/hybrid-shorts-185/mens/wash-apparel-185.01331,2,120.0,"185.00303,185.00304,185.01331,185.01329",2023-08-09T06:21:48.055Z
Performance Tights 7/8,https://www.on-running.com/en-ch/products/performance-tights-7-8-1wd1020/womens/ox-apparel-1WD10201275,1,140.0,"1WD10200870,1WD10201161,1WD10200553,1WD10201275",2023-08-09T06:21:49.672Z
Studio Beanie,https://www.on-running.com/en-ch/products/studio-beanie-335/unisex/navy-accessories-335.01402,3,50.0,335.01402,2023-08-09T06:21:46.083Z
Tank-T,https://www.on-running.com/en-ch/products/tank-t-108/womens/black-wash-apparel-208.01315,2,90.0,"108.00437,208.00438,208.01026,108.01313,208.01315,108.01314,208.01316",2023-08-09T06:21:50.029Z
Movement Tights Short,https://www.on-running.com/en-ch/products/movement-tights-short-1wd1024/womens/grape-apparel-1WD10240434,2,110.0,"1WD10240896,1WD10240553,1WD10240434",2023-08-09T06:21:49.175Z
Cloudflyer 4,https://www.on-running.com/en-ch/products/cloudflyer-4-71/mens/fossil-flame-shoes-71.98095,3,230.0,"71.98677,71.98671,71.98674,71.98249,71.98095,71.98094,71.98093,71.98092",2023-08-09T06:21:36.074Z
Performance High Sock,https://www.on-running.com/en-ch/products/performance-high-sock-365/mens/hail-wash-accessories-364.01382,3,30.0,"365.00838,365.00839,364.00837,364.00836,364.01181,364.01658,365.01659,364.01382,365.01385",2023-08-09T06:21:53.513Z
Running Shorts,https://www.on-running.com/en-ch/products/running-shorts-2-0-255/womens/stellar-black-apparel-255.01334,3,100.0,"255.00243,255.01334",2023-08-09T06:21:49.767Z
Trek Pants,https://www.on-running.com/en-ch/products/trek-pants-1wd1028/womens/zinc-apparel-1WD10280585,3,180.0,"1WD10280553,1WD10280009,1MD10180009,1MD10180553,1WD10280585,1MD10181261",2023-08-09T06:21:50.347Z
Insulator Jacket,https://www.on-running.com/en-ch/products/insulator-jacket-144/mens/black-apparel-144.01441,3,350.0,"244.01443,144.01441",2023-08-09T06:21:48.504Z
Cloudgo Wide,https://www.on-running.com/en-ch/products/cloudgo-wide-65/mens/storm-magnet-shoes-65.98038,2,200.0,"65.98617,65.98616,65.98231,65.98229,65.98038",2023-08-09T06:21:38.365Z
"5"" Running Shorts",https://www.on-running.com/en-ch/products/5-running-shorts-295/womens/hay-black-apparel-295.01294,2,100.0,"295.00724,295.01294",2023-08-09T06:21:42.827Z
Track Pants,https://www.on-running.com/en-ch/products/track-pants-166/womens/zinc-black-apparel-1WD10211261,2,150.0,"166.00335,1WD10210553,1WD10211261,166.01339",2023-08-09T06:21:50.472Z
Ultra Jacket,https://www.on-running.com/en-ch/products/ultra-jacket-1md1010/womens/zinc-apparel-1WD10150585,2,330.0,"1MD10100553,1WD10150872,1WD10150553,1WD10150585,1MD10100585",2023-08-09T06:21:51.066Z
Essential Shorts,https://www.on-running.com/en-ch/products/essential-shorts-1md1012/mens/stellar-apparel-1MD10120889,3,90.0,"1WD10180553,1MD10120460,1WD10180859,1MD10120553,1WD10180897,1MD10120959,1MD10120889",2023-08-09T06:21:43.468Z
Active Shorts,https://www.on-running.com/en-ch/products/active-shorts-225/womens/stellar-black-apparel-225.01333,2,110.0,"225.00272,225.01333",2023-08-09T06:21:42.443Z
Focus Tank,https://www.on-running.com/en-ch/products/focus-tank-1wd1006/womens/lavender-apparel-1WD10061276,2,85.0,"1WD10060553,1WD10061276,1WD10060585,1WD10060009",2023-08-09T06:21:44.003Z
Trail Breaker,https://www.on-running.com/en-ch/products/trail-breaker-133/mens/stellar-black-apparel-133.01354,2,230.0,"133.00705,233.00706,133.01354",2023-08-09T06:21:50.637Z
Zero Jacket,https://www.on-running.com/en-ch/products/zero-jacket-174/womens/stellar-black-apparel-274.01318,2,200.0,"274.00759,174.00758,274.01028,174.01317,274.01318",2023-08-09T06:21:51.745Z
Waterproof Anorak,https://www.on-running.com/en-ch/products/waterproof-anorak-1md1011/womens/zinc-apparel-1WD10160585,2,390.0,"1MD10110553,1WD10160553,1WD10160264,1MD10110264,1WD10160585,1MD10110585",2023-08-09T06:21:51.382Z
Climate Jacket,https://www.on-running.com/en-ch/products/climate-jacket-164/womens/cocoa-black-apparel-264.01327,3,220.0,"164.00709,264.00708,264.01327",2023-08-09T06:21:43.014Z
Movement Tank,https://www.on-running.com/en-ch/products/movement-tank-1WD1010/womens/zinc-apparel-1WD10100585,2,80.0,"1WD10100460,1WD10100553,1WD10100585",2023-08-09T06:21:52.447Z
Weather Jacket,https://www.on-running.com/en-ch/products/weather-jacket-204/mens/taiga-shadow-apparel-104.01321,2,290.0,"104.4005,204.00248,104.01029,204.01031,104.01321",2023-08-09T06:21:51.533Z
THE ROGER Pro,https://www.on-running.com/en-ch/products/the-roger-pro-48pro/mens/white-acai-shoes-48.98028,3,270.0,"48.98721,48.98720,3MD10370840,3WD10290840,48.98045,48.98047,48.98046,48.98028",2023-08-09T06:21:58.796Z
Cloudnova,https://www.on-running.com/en-ch/products/cloudnova-26/mens/black-flame-shoes-26.98127,2,210.0,"26.99814,26.99822,26.99118,26.99117,26.99116,26.99115,26.99114,26.99113,26.98989,26.98984,26.98982,26.98493,26.98489,26.98494,26.98224,26.98315,26.98227,26.98313,26.98226,26.98225,26.98126,26.98125,26.98124,26.98127",2023-08-09T06:21:31.768Z
THE ROGER Clubhouse,https://www.on-running.com/en-ch/products/the-roger-clubhouse-48clb/mens/hay-shoes-48.98109,2,200.0,"48.99141,48.98336,48.98333,48.98331,48.98109,48.98111",2023-08-09T06:21:32.168Z
Cloud 5 Coast,https://www.on-running.com/en-ch/products/cloud-5-coast-3md1053/mens/undyed-white-white-shoes-3MD10531743,3,200.0,"3MD10531743,3WD10541743,3WD10541077,3MD10531077",2023-08-09T08:20:59.123Z
Cloudultra 2,https://www.on-running.com/en-ch/products/cloudultra-2-3md3028/mens/black-white-shoes-3MD30280299,3,240.0,"3MD30280331,3WD30281483,3MD30280299,3WD30280299,3MD30281483",2023-08-09T08:21:04.329Z
Cloudrunner Waterproof,https://www.on-running.com/en-ch/products/cloudrunner-waterproof-52/mens/stone-black-shoes-52.98076,3,220.0,"52.98637,52.98051,52.98076",2023-08-09T08:21:02.916Z
Cloudwander Waterproof,https://www.on-running.com/en-ch/products/cloudwander-waterproof-73/womens/sand-ivory-shoes-73.98055,3,240.0,"73.98606,73.98602,93.98184,93.98183,73.98278,73.98279,73.98056,73.98055",2023-08-09T08:21:05.345Z
Cloudvista Waterproof,https://www.on-running.com/en-ch/products/cloudvista-waterproof-74/mens/zinc-grape-shoes-74.98058,3,220.0,"74.98571,74.98595,74.98277,74.98275,74.98276,74.98058,74.98057",2023-08-09T08:21:06.233Z
Cloud X 3,https://www.on-running.com/en-ch/products/cloud-x-3-60/mens/hunter-black-shoes-60.98101,3,200.0,"60.98694,60.98691,60.98699,60.98689,60.98696,60.98697,60.98705,60.98706,60.98703,60.98704,60.98252,60.98254,60.98253,60.98255,60.98096,60.98098,60.98097,60.98101,60.98102,60.98099",2023-08-09T08:20:57.746Z
Cloudboom Echo 3,https://www.on-running.com/en-ch/products/cloudboom-echo-3-0-3md1059/mens/undyed-white-mint-shoes-3MD10591105,2,360.0,"3MD10591105,3WD10491105",2023-08-09T08:20:56.103Z
Cloudrunner,https://www.on-running.com/en-ch/products/cloudrunner-46/womens/frost-fade-shoes-46.98078,3,200.0,"46.99017,46.99019,46.99015,46.99016,46.98643,46.98238,46.98199,46.98237,46.98236,46.98078,46.98077,46.98079",2023-08-09T08:21:03.007Z
